Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
7.46866E-8,0.000007469,0.000520883,1,0,0
9.2074E-8,0.000016676,0.00064207,0.999908097,0,0
1.02517E-7,0.000026928,0.000714841,0.999816193,0,0
1.43941E-7,0.000053962,0.001003393,0.999632387,0,0
1.6606E-7,0.000102463,0.001157408,0.999356677,0,0
2.09208E-7,0.000265293,0.001457705,0.998529547,0,0
2.63836E-7,0.000524643,0.001837638,0.99751861,0,0
3.62241E-7,0.001018112,0.002521307,0.996048157,0,0
5.16043E-7,0.002535491,0.003587972,0.992923445,0,0
6.3932E-7,0.00501131,0.00444129,0.988971602,0,0
7.85434E-7,0.010032635,0.0054508,0.98253837,0,0
1.1102E-6,0.0250747,0.00768729,0.967925742,0,0
1.51865E-6,0.050088641,0.01048586,0.950556015,0,0
2.58568E-6,0.100236477,0.01772285,0.927120669,0,0
4.05792E-6,0.200052688,0.027536003,0.899090157,0.001070664,0.004291845
5.5044E-6,0.300079633,0.036988411,0.879698557,0.001070664,0.008583691
6.98087E-6,0.400420229,0.046449117,0.864902123,0.001070664,0.008583691
8.29569E-6,0.500396047,0.05471894,0.852862788,0.001070664,0.008583691
9.31645E-6,0.600114232,0.061040929,0.842477713,0.001070664,0.008583691
1.04638E-5,0.700380024,0.068046895,0.833103575,0.001070664,0.008583691
1.10254E-5,0.750963184,0.071438236,0.828784119,0.001070664,0.008583691
1.15162E-5,0.800675115,0.074381547,0.824740373,0.002141328,0.008583691
1.23471E-5,0.900469341,0.079322712,0.817020494,0.003211991,0.008583691
1.31429E-5,1.000506873,0.084005619,0.809852036,0.004282655,0.012875536
1.39664E-5,1.100926958,0.08880189,0.80305119,0.004282655,0.012875536
1.4716E-5,1.201037542,0.093123855,0.796617958,0.005353319,0.017167382
1.53298E-5,1.300100526,0.096632906,0.790552339,0.007494647,0.021459227
1.58855E-5,1.400083241,0.099786171,0.784670527,0.009635974,0.021459227
1.63746E-5,1.500253719,0.102543567,0.778972521,0.010706638,0.021459227
1.79729E-5,1.7515256,0.111437232,0.765554637,0.014989293,0.025751073
1.93237E-5,2.00034069,0.118817732,0.753239592,0.014989293,0.025751073
2.0622E-5,2.25065011,0.12579603,0.741751677,0.016059957,0.025751073
2.19356E-5,2.501458119,0.132745805,0.730907086,0.019271949,0.025751073
2.30071E-5,2.75102381,0.138332893,0.720705817,0.020342612,0.025751073
2.41891E-5,3.001630696,0.144413502,0.710964066,0.023554604,0.025751073
2.53257E-5,3.251263264,0.150180302,0.701681831,0.025695931,0.025751073
2.65114E-5,3.502418208,0.15611339,0.692767209,0.029978587,0.025751073
2.79436E-5,3.751567724,0.163171203,0.684404007,0.031049251,0.025751073
2.9094E-5,4.000246627,0.168754791,0.676408418,0.031049251,0.025751073
3.05026E-5,4.250158766,0.175491721,0.66868854,0.034261242,0.025751073
3.16807E-5,4.501481561,0.181042196,0.661244371,0.035331906,0.025751073
3.28733E-5,4.750270007,0.186586012,0.654167815,0.03640257,0.025751073
3.40573E-5,5.001540059,0.192015719,0.647275067,0.037473233,0.025751073
3.5509E-5,5.252367327,0.19857511,0.640658028,0.039614561,0.025751073
3.6686E-5,5.501570066,0.203815954,0.634316699,0.042826552,0.025751073
3.78317E-5,5.751652933,0.208851443,0.628159177,0.043897216,0.030042918
3.90109E-5,6.001531557,0.213968714,0.622185461,0.043897216,0.030042918
4.03181E-5,6.251608491,0.219563999,0.616395552,0.04496788,0.034334764
4.139E-5,6.500798013,0.224093408,0.610789449,0.046038544,0.034334764
4.24975E-5,6.752308381,0.228717982,0.60527525,0.046038544,0.034334764
4.37538E-5,7.002442662,0.233897959,0.599944858,0.048179872,0.034334764
4.49828E-5,7.251346294,0.238898417,0.594798272,0.051391863,0.038626609
4.63212E-5,7.502417375,0.244270083,0.58974359,0.053533191,0.038626609
4.76553E-5,7.75183981,0.249549902,0.584872714,0.055674518,0.038626609
4.89449E-5,8.003527442,0.254583474,0.580093741,0.056745182,0.038626609
4.99575E-5,8.251168385,0.258489095,0.575498575,0.05888651,0.042918455
5.08195E-5,8.503061132,0.26178165,0.57090341,0.062098501,0.042918455
5.19689E-5,8.754883931,0.266126826,0.566400147,0.063169165,0.042918455
5.32295E-5,9.002258808,0.270833858,0.562080691,0.064239829,0.0472103
5.42457E-5,9.250135642,0.274584464,0.557853138,0.065310493,0.051502146
5.53216E-5,9.502281742,0.278513713,0.553625586,0.066381156,0.051502146
5.65895E-5,9.754071453,0.28309014,0.549489937,0.06745182,0.064377682
5.77443E-5,10.00566914,0.287207908,0.545446191,0.069593148,0.064377682
5.86231E-5,10.250162971,0.290309828,0.541586251,0.071734475,0.064377682
5.96513E-5,10.504550802,0.293905098,0.537634409,0.071734475,0.072961373
6.0859E-5,10.751408092,0.298081613,0.533866373,0.076017131,0.072961373
6.19485E-5,11.003209084,0.30180766,0.530098337,0.078158458,0.072961373
6.29587E-5,11.252811496,0.305226839,0.526422204,0.079229122,0.072961373
6.38936E-5,11.500373647,0.30836185,0.522837974,0.082441113,0.072961373
6.51444E-5,11.751965927,0.312511921,0.519253745,0.084582441,0.072961373
6.60371E-5,12.001388759,0.315443464,0.515761419,0.086723769,0.072961373
6.69743E-5,12.254323295,0.318494421,0.512269093,0.088865096,0.077253219
6.80245E-5,12.504027529,0.321880879,0.50886867,0.08993576,0.08583691
6.88371E-5,12.750548371,0.324478494,0.505560151,0.092077088,0.08583691
6.98232E-5,13.000293616,0.327603825,0.502251631,0.093147752,0.08583691
7.09181E-5,13.253662081,0.331040345,0.498943112,0.095289079,0.090128755
7.16506E-5,13.503145753,0.333319893,0.495726496,0.096359743,0.103004292
7.25333E-5,13.755445251,0.336046326,0.49250988,0.098501071,0.107296137
7.35563E-5,14.003818537,0.339178476,0.489385167,0.098501071,0.107296137
7.4314E-5,14.255324086,0.341479061,0.486260454,0.102783726,0.111587983
7.4969E-5,14.501638852,0.343455328,0.483227645,0.10385439,0.111587983
7.60604E-5,14.750829007,0.346721631,0.480194835,0.104925054,0.111587983
7.68365E-5,15.002957515,0.349024846,0.477162026,0.105995717,0.111587983
7.75816E-5,15.257745512,0.351220465,0.474129216,0.107066381,0.111587983
7.82578E-5,15.507261407,0.353200421,0.47118831,0.109207709,0.115879828
7.89332E-5,15.750942537,0.355166233,0.468339307,0.110278373,0.115879828
7.98152E-5,16.005077907,0.357715169,0.465398401,0.113490364,0.124463519
8.06266E-5,16.254008878,0.360042453,0.462549398,0.117773019,0.13304721
8.14153E-5,16.505184885,0.362288361,0.459700395,0.120985011,0.13304721
8.23649E-5,16.750920756,0.364971927,0.456943296,0.124197002,0.137339056
8.33259E-5,17.00780761,0.367664592,0.454094293,0.12633833,0.141630901
8.38144E-5,17.250260433,0.369024398,0.451429097,0.128479657,0.141630901
8.45146E-5,17.502778551,0.37096388,0.448671997,0.132762313,0.145922747
8.51853E-5,17.75731176,0.372810102,0.445914898,0.13490364,0.145922747
8.57022E-5,18.005092801,0.374225836,0.443249701,0.137044968,0.145922747
8.64741E-5,18.254745443,0.37632797,0.440584505,0.138115632,0.145922747
8.71101E-5,18.506394245,0.378049467,0.437919309,0.139186296,0.150214592
8.78487E-5,18.751341407,0.38003668,0.435346016,0.140256959,0.158798283
8.87803E-5,19.007493836,0.382525259,0.43268082,0.142398287,0.163090129
8.95352E-5,19.257362173,0.384527122,0.430107527,0.144539615,0.163090129
9.02216E-5,19.500100727,0.386336059,0.427626137,0.145610278,0.167381974
9.10757E-5,19.754054741,0.388572142,0.425052844,0.149892934,0.175965665
9.15958E-5,20.00067265,0.389925997,0.422571455,0.152034261,0.175965665
9.23982E-5,20.258365444,0.392002818,0.419998162,0.154175589,0.175965665
9.30187E-5,20.508624629,0.393599163,0.417516772,0.15738758,0.175965665
9.34772E-5,20.751125752,0.394773268,0.415127286,0.161670236,0.175965665
9.40431E-5,21.00426276,0.396216277,0.412645897,0.163811563,0.175965665
9.45811E-5,21.25885846,0.397581786,0.410164507,0.164882227,0.175965665
9.52438E-5,21.505572968,0.399255423,0.407775021,0.167023555,0.175965665
9.56894E-5,21.753793168,0.400375434,0.405385534,0.17130621,0.175965665
9.63646E-5,22.003553198,0.402064604,0.402996048,0.17130621,0.180257511
9.70387E-5,22.254985123,0.40374159,0.400606562,0.172376874,0.188841202
9.74185E-5,22.507773817,0.404682453,0.398217076,0.174518201,0.188841202
9.82756E-5,22.752538086,0.406794541,0.395919493,0.175588865,0.188841202
9.88163E-5,23.008756269,0.408119087,0.393530006,0.176659529,0.193133047
9.92951E-5,23.25642686,0.409287387,0.391232423,0.178800857,0.197424893
1.00047E-4,23.505794811,0.411111414,0.388934841,0.17987152,0.197424893
1.00445E-4,23.756376275,0.412074339,0.386637258,0.182012848,0.197424893
1.00957E-4,24.008218461,0.413306268,0.384339675,0.186295503,0.197424893
1.01362E-4,24.250985746,0.414277047,0.382133995,0.190578158,0.206008584
1.01915E-4,24.505272025,0.415598956,0.379836412,0.192719486,0.206008584
1.02437E-4,24.75056142,0.416838794,0.377630732,0.194860814,0.210300429
1.03157E-4,25.007657586,0.418543194,0.37533315,0.195931478,0.210300429
1.03705E-4,25.255788953,0.419834294,0.37312747,0.197002141,0.214592275
1.0428E-4,25.505339596,0.421180437,0.37092179,0.198072805,0.214592275
1.05076E-4,25.75657245,0.423034882,0.368716111,0.201284797,0.223175966
1.05684E-4,26.009397371,0.424443488,0.366510431,0.208779443,0.227467811
1.06205E-4,26.252969033,0.425646464,0.364396655,0.209850107,0.231759657
1.06879E-4,26.508566432,0.427193253,0.362190975,0.210920771,0.231759657
1.074E-4,26.755000568,0.428383371,0.360077199,0.215203426,0.231759657
1.07865E-4,27.002540954,0.429441246,0.357963422,0.21627409,0.236051502
1.08596E-4,27.251545167,0.431098757,0.355849646,0.218415418,0.240343348
1.09125E-4,27.501958563,0.432290486,0.35373587,0.219486081,0.248927039
1.09728E-4,27.753626442,0.433642731,0.351622094,0.220556745,0.248927039
1.10279E-4,28.006496438,0.434873928,0.349508317,0.222698073,0.248927039
1.10783E-4,28.260824851,0.435993699,0.347394541,0.225910064,0.248927039
1.11203E-4,28.505047996,0.436924577,0.345372668,0.229122056,0.248927039
1.11881E-4,28.750413964,0.438420472,0.343350795,0.230192719,0.253218884
1.12467E-4,29.008409221,0.439707475,0.341237019,0.233404711,0.25751073
1.13361E-4,29.256871235,0.441659852,0.339215146,0.236616702,0.266094421
1.14126E-4,29.507114278,0.443318396,0.337193273,0.23875803,0.270386266
1.14806E-4,29.758904291,0.444784166,0.3351714,0.243040685,0.278969957
1.15279E-4,30.000459562,0.445800532,0.33324143,0.243040685,0.278969957
1.15816E-4,30.254693575,0.446949399,0.331219557,0.246252677,0.283261803
1.16348E-4,30.510048198,0.448082196,0.329197684,0.24732334,0.283261803
1.16965E-4,30.755063835,0.449390989,0.327267714,0.24732334,0.291845494
1.17603E-4,31.001341365,0.450737366,0.325337745,0.248394004,0.291845494
1.18175E-4,31.260664954,0.451938493,0.323315872,0.251605996,0.291845494
1.18818E-4,31.509537937,0.453282688,0.321385902,0.25267666,0.291845494
1.19441E-4,31.759675529,0.454578696,0.319455932,0.254817987,0.291845494
1.19981E-4,32.011096372,0.455696648,0.317525963,0.255888651,0.300429185
1.2038E-4,32.251448304,0.456521311,0.315687896,0.259100642,0.30472103
1.21241E-4,32.505173831,0.458289411,0.313757927,0.26124197,0.309012876
1.21577E-4,32.760132128,0.458976837,0.311827957,0.263383298,0.309012876
1.22168E-4,33.003987395,0.460180698,0.309989891,0.265524625,0.313304721
1.22856E-4,33.261256397,0.461575999,0.308059921,0.269807281,0.313304721
1.23375E-4,33.507448531,0.462625534,0.306221855,0.273019272,0.313304721
1.23944E-4,33.754873679,0.463769236,0.304383788,0.2751606,0.313304721
1.24468E-4,34.003137087,0.464818763,0.302545722,0.276231263,0.317596567
1.2495E-4,34.25259786,0.465779694,0.300707656,0.278372591,0.317596567
1.25501E-4,34.503021182,0.46687575,0.298869589,0.280513919,0.317596567
1.2599E-4,34.754612114,0.467842439,0.297031523,0.284796574,0.317596567
1.26477E-4,35.007057251,0.468803996,0.295193456,0.288008565,0.321888412
1.26704E-4,35.260251901,0.469250048,0.29335539,0.290149893,0.321888412
1.2734E-4,35.501572084,0.470496967,0.291609227,0.294432548,0.326180258
1.27764E-4,35.756661931,0.471325119,0.289771161,0.295503212,0.326180258
1.28714E-4,36.000421464,0.4731717,0.288024998,0.296573876,0.330472103
1.29143E-4,36.258279453,0.474000698,0.286186931,0.299785867,0.339055794
1.29705E-4,36.504146243,0.47508341,0.284440768,0.302997859,0.339055794
1.30333E-4,36.751208428,0.476288418,0.282694605,0.305139186,0.339055794
1.30883E-4,37.012421572,0.477339291,0.280856539,0.309421842,0.343347639
1.31353E-4,37.261636878,0.47823461,0.279110376,0.311563169,0.347639485
1.31847E-4,37.511704017,0.47917058,0.277364213,0.312633833,0.35193133
1.32217E-4,37.762583289,0.479870271,0.27561805,0.313704497,0.35193133
1.32775E-4,38.001090548,0.480921238,0.27396379,0.313704497,0.360515021
1.33302E-4,38.253796938,0.481910466,0.272217627,0.317987152,0.360515021
1.33974E-4,38.507768801,0.483165732,0.270471464,0.319057816,0.364806867
1.34641E-4,38.763055036,0.484405807,0.268725301,0.32012848,0.373390558
1.35138E-4,39.005810833,0.48532675,0.267071041,0.322269807,0.373390558
1.35721E-4,39.263205558,0.486401465,0.265324878,0.326552463,0.373390558
1.36354E-4,39.508196902,0.487563576,0.263670619,0.32869379,0.373390558
1.36657E-4,39.75393852,0.488117701,0.262016359,0.331905782,0.377682403
1.37154E-4,40.000439142,0.489025413,0.260362099,0.335117773,0.381974249
1.37588E-4,40.255957797,0.489814877,0.258615936,0.336188437,0.381974249
1.38255E-4,40.509695838,0.491023815,0.256961676,0.338329764,0.386266094
1.38576E-4,40.758905034,0.491603397,0.255307417,0.340471092,0.386266094
1.39255E-4,41.008943715,0.492824479,0.253653157,0.343683084,0.386266094
1.39803E-4,41.260053325,0.493807488,0.251998897,0.346895075,0.386266094
1.40453E-4,41.51225032,0.494965717,0.250344637,0.347965739,0.386266094
1.40826E-4,41.751359968,0.495629246,0.248782281,0.352248394,0.386266094
1.41534E-4,42.00544879,0.496882737,0.247128021,0.353319058,0.39055794
1.42159E-4,42.260901754,0.497985109,0.245473762,0.357601713,0.394849785
1.42683E-4,42.502971508,0.498903813,0.243911405,0.360813704,0.394849785
1.43178E-4,42.760328692,0.499770697,0.242257145,0.36509636,0.394849785
1.43593E-4,43.004117619,0.500494028,0.240694789,0.367237687,0.394849785
1.44076E-4,43.263008861,0.50133263,0.239040529,0.371520343,0.394849785
1.44766E-4,43.508533958,0.502527091,0.237478173,0.374732334,0.399141631
1.45243E-4,43.755041409,0.503349814,0.235915817,0.376873662,0.399141631
1.45702E-4,44.002332127,0.504138499,0.23435346,0.381156317,0.399141631
1.4643E-4,44.250598263,0.505384421,0.232791104,0.384368308,0.399141631
1.46838E-4,44.514539404,0.506080557,0.231136844,0.384368308,0.399141631
1.47442E-4,44.750046318,0.507105734,0.229666391,0.385438972,0.399141631
1.47662E-4,45.000884117,0.507479175,0.228104035,0.3875803,0.399141631
1.48067E-4,45.252292776,0.508163627,0.226541678,0.3875803,0.399141631
1.48549E-4,45.504360634,0.508976137,0.224979322,0.391862955,0.399141631
1.49162E-4,45.757403013,0.510004587,0.223416965,0.395074946,0.399141631
1.49627E-4,46.011395301,0.510782194,0.221854609,0.397216274,0.399141631
1.50195E-4,46.251230331,0.511728685,0.220384156,0.398286938,0.399141631
1.50824E-4,46.50718639,0.512773308,0.218821799,0.399357602,0.403433476
1.5125E-4,46.764024554,0.513477735,0.217259443,0.401498929,0.403433476
1.51753E-4,47.006476684,0.514306906,0.21578899,0.404710921,0.403433476
1.52187E-4,47.264838163,0.515020985,0.214226634,0.408993576,0.403433476
1.52818E-4,47.508891132,0.516053692,0.21275618,0.41006424,0.407725322
